"id","name"
"Donor_1","General Funds"
"Donor_2","Operation Funds (Cash Advances)"
"Donor_3","Donation Boxes"
"Donor_4","Reserve Funds"
"Donor_5","Income Generation"
"Donor_6","HoG I"
"Donor_7","HoG A"
"Donor_8","Save the Children - ANCP"
"Donor_9","Save the Children - ACCESS"
"Donor_10","Plan International"
"Donor_11","Colabora birmania"
"Donor_12","ADM Capital Foundation"
"Donor_13","Manan Trust"
"Donor_14","Firetree Asia Foundation"
"Donor_15","The Act Now Children's Fund"
"Donor_16","Plan International"
"Donor_17","SpinningTop"
"Donor_18","Thai Health Promotion Foundation (สสส)"
"Donor_19","UNESCO"
"Donor_20","Foundation for Child Development"
"Donor_21","Help Age International"
"Donor_22","Brodtbeck Philanthropy Foundation"
"Donor_23","Seaside Foundation"
"Donor_24","Thammasat University"
"Donor_25","Chiang Mai Expats Club"
"Donor_26","Funds for Other Organisations"
"Donor_27","Contribution from HoG I's School"
"Donor_28","Contribution from HWFTH's School"
